hybrid_type,count
miRNA-mRNA,196027
mRNA-mRNA,112621
mRNA-pseudogene,36055
miRNA-pseudogene,32420
miRNA-miRNA,20260
kshv-miRNA-mRNA,10647
pseudogene-pseudogene,9186
miRNA-pr-tr,4829
mRNA-tRNA,4086
mRNA-pr-tr,3449
miRNA-kshv-miRNA,2137
kshv-miRNA-pseudogene,2005
pseudogene-tRNA,1810
miRNA-tRNA,1488
miRNA-mitoch-rRNA,1176
miRNA-miscRNA,937
mRNA-miscRNA,927
pr-tr-pseudogene,873
mRNA-mitoch-rRNA,761
pr-tr-pr-tr,681
miRNA-snRNA,592
lincRNA-mRNA,564
miRNA-lincRNA,553
mRNA-snRNA,476
miscRNA-pseudogene,385
mRNA-snoRNA,373
mitoch-rRNA-pseudogene,329
kshv-miRNA-pr-tr,276
miRNA-snoRNA,270
pseudogene-snRNA,184
pseudogene-snoRNA,158
kshv-miRNA-tRNA,139
lincRNA-pseudogene,128
kshv-miRNA-snRNA,96
mitoch-rRNA-mitoch-rRNA,92
kshv-miRNA-mitoch-rRNA,81
kshv-miRNA-kshv-miRNA,78
tRNA-tRNA,65
miscRNA-miscRNA,62
pr-tr-tRNA,47
snoRNA-snoRNA,45
kshv-miRNA-miscRNA,44
mitoch-rRNA-tRNA,42
kshv-miRNA-lincRNA,32
miscRNA-pr-tr,31
lincRNA-pr-tr,30
lincRNA-lincRNA,26
miscRNA-tRNA,22
mitoch-rRNA-pr-tr,16
snRNA-snRNA,14
pr-tr-snRNA,14
snRNA-snoRNA,11
kshv-miRNA-snoRNA,8
lincRNA-tRNA,8
miscRNA-snRNA,8
miscRNA-mitoch-rRNA,5
mitoch-rRNA-snoRNA,4
pr-tr-snoRNA,4
snRNA-tRNA,4
lincRNA-miscRNA,4
lincRNA-mitoch-rRNA,3
mitoch-rRNA-snRNA,3
miRNA-Ig,2
Ig-pseudogene,1
Trec-mRNA,1
lincRNA-snoRNA,1
