hybrid_type,count
miRNA-mRNA,122830
mRNA-mRNA,63861
miRNA-pseudogene,36673
mRNA-pseudogene,23512
miRNA-miRNA,16568
pseudogene-pseudogene,14374
KSHV-miRNA-mRNA,3969
miRNA-pr-tr,3122
KSHV-miRNA-pseudogene,1732
mRNA-tRNA,1581
mRNA-pr-tr,1507
pseudogene-tRNA,1278
miRNA-tRNA,1008
miRNA-miscRNA,962
miRNA-KSHV-miRNA,630
KSHV-miRNA-miRNA,589
pr-tr-pseudogene,584
miRNA-snRNA,582
mRNA-miscRNA,519
pr-tr-pr-tr,481
miRNA-snoRNA,458
miscRNA-pseudogene,444
miRNA-lincRNA,335
pseudogene-snRNA,236
pseudogene-snoRNA,220
lincRNA-mRNA,209
mRNA-snoRNA,198
mRNA-snRNA,193
snoRNA-snoRNA,138
KSHV-miRNA-pr-tr,91
lincRNA-pseudogene,87
KSHV-miRNA-tRNA,78
KSHV-miRNA-snRNA,48
miscRNA-miscRNA,48
KSHV-miRNA-KSHV-miRNA,47
tRNA-tRNA,33
pr-tr-tRNA,27
miscRNA-snRNA,25
lincRNA-pr-tr,15
KSHV-miRNA-lincRNA,12
miscRNA-pr-tr,12
lincRNA-lincRNA,9
pr-tr-snoRNA,7
lincRNA-miscRNA,7
KSHV-miRNA-snoRNA,6
KSHV-miRNA-miscRNA,6
snRNA-snRNA,5
snRNA-snoRNA,5
snRNA-tRNA,3
pr-tr-snRNA,2
snoRNA-tRNA,1
miscRNA-snoRNA,1
lincRNA-snoRNA,1
lincRNA-snRNA,1
