miRNA--mRNA,246852
mRNA--mRNA,135482
miRNA--pseudogene,42614
mRNA--pseudogene,36601
miRNA--miRNA,25460
KSHV-miRNA--mRNA,16150
pseudogene--pseudogene,10738
miRNA--pr-tr,5930
mRNA--pr-tr,3945
mRNA--tRNA,3712
KSHV-miRNA--pseudogene,2971
pseudogene--tRNA,1859
miRNA--tRNA,1664
KSHV-miRNA--miRNA,1570
miRNA--KSHV-miRNA,1508
miRNA--miscRNA,1449
miRNA--snRNA,1068
pr-tr--pr-tr,1032
mRNA--miscRNA,967
pr-tr--pseudogene,917
miRNA--lincRNA,647
mRNA--snRNA,541
mRNA--snoRNA,530
KSHV-miRNA--pr-tr,460
lincRNA--mRNA,441
miRNA--snoRNA,437
miscRNA--pseudogene,400
pseudogene--snoRNA,218
pseudogene--snRNA,187
KSHV-miRNA--tRNA,183
KSHV-miRNA--snRNA,162
snoRNA--snoRNA,144
KSHV-miRNA--KSHV-miRNA,122
lincRNA--pseudogene,120
miscRNA--miscRNA,116
pr-tr--tRNA,93
tRNA--tRNA,76
KSHV-miRNA--lincRNA,37
KSHV-miRNA--miscRNA,36
lincRNA--pr-tr,33
lincRNA--lincRNA,32
snRNA--snRNA,27
miscRNA--pr-tr,23
KSHV-miRNA--snoRNA,20
snRNA--tRNA,20
miscRNA--snRNA,12
pr-tr--snoRNA,8
pr-tr--snRNA,7
miRNA--Ig,4
lincRNA--tRNA,4
lincRNA--snoRNA,3
snRNA--snoRNA,2
KSHV-miRNA--Ig,1
snoRNA--tRNA,1
